Wavelength,Absorbance,Drug_Type
558.0,79.0,Cocaine
562.0,47.0,Cocaine
566.0,47.0,Cocaine
570.0,38.0,Cocaine
574.0,21.0,Cocaine
578.0,18.0,Cocaine
582.0,21.0,Cocaine
586.0,25.0,Cocaine
590.0,22.0,Cocaine
594.0,11.0,Cocaine
598.0,0.0,Cocaine
602.0,20.0,Cocaine
606.0,30.0,Cocaine
610.0,36.0,Cocaine
614.0,69.0,Cocaine
618.0,114.0,Cocaine
622.0,131.0,Cocaine
626.0,111.0,Cocaine
630.0,79.0,Cocaine
634.0,55.0,Cocaine
638.0,52.0,Cocaine
642.0,55.0,Cocaine
646.0,51.0,Cocaine
650.0,51.0,Cocaine
654.0,49.0,Cocaine
658.0,68.0,Cocaine
662.0,105.0,Cocaine
666.0,149.0,Cocaine
670.0,187.0,Cocaine
674.0,236.0,Cocaine
678.0,350.0,Cocaine
682.0,460.0,Cocaine
686.0,488.0,Cocaine
690.0,511.0,Cocaine
694.0,567.0,Cocaine
698.0,653.0,Cocaine
702.0,849.0,Cocaine
706.0,1186.0,Cocaine
710.0,1626.0,Cocaine
714.0,1859.0,Cocaine
718.0,1617.0,Cocaine
722.0,1126.0,Cocaine
726.0,730.0,Cocaine
730.0,530.0,Cocaine
734.0,417.0,Cocaine
738.0,319.0,Cocaine
742.0,271.0,Cocaine
746.0,254.0,Cocaine
750.0,240.0,Cocaine
754.0,210.0,Cocaine
758.0,175.0,Cocaine
762.0,173.0,Cocaine
766.0,221.0,Cocaine
770.0,313.0,Cocaine
774.0,405.0,Cocaine
778.0,438.0,Cocaine
782.0,378.0,Cocaine
786.0,280.0,Cocaine
790.0,211.0,Cocaine
794.0,182.0,Cocaine
798.0,193.0,Cocaine
802.0,218.0,Cocaine
806.0,222.0,Cocaine
810.0,186.0,Cocaine
814.0,139.0,Cocaine
818.0,121.0,Cocaine
822.0,114.0,Cocaine
826.0,128.0,Cocaine
830.0,151.0,Cocaine
834.0,165.0,Cocaine
838.0,168.0,Cocaine
842.0,168.0,Cocaine
846.0,173.0,Cocaine
850.0,177.0,Cocaine
854.0,191.0,Cocaine
858.0,217.0,Cocaine
862.0,236.0,Cocaine
866.0,239.0,Cocaine
870.0,226.0,Cocaine
874.0,213.0,Cocaine
878.0,194.0,Cocaine
882.0,175.0,Cocaine
886.0,162.0,Cocaine
890.0,147.0,Cocaine
894.0,139.0,Cocaine
898.0,133.0,Cocaine
902.0,122.0,Cocaine
906.0,114.0,Cocaine
910.0,108.0,Cocaine
914.0,96.0,Cocaine
918.0,97.0,Cocaine
922.0,113.0,Cocaine
926.0,131.0,Cocaine
930.0,154.0,Cocaine
934.0,168.0,Cocaine
938.0,168.0,Cocaine
942.0,167.0,Cocaine
946.0,188.0,Cocaine
950.0,208.0,Cocaine
954.0,237.0,Cocaine
958.0,263.0,Cocaine
962.0,269.0,Cocaine
966.0,275.0,Cocaine
970.0,278.0,Cocaine
974.0,296.0,Cocaine
978.0,339.0,Cocaine
982.0,380.0,Cocaine
986.0,407.0,Cocaine
990.0,439.0,Cocaine
994.0,475.0,Cocaine
998.0,525.0,Cocaine
1002.0,603.0,Cocaine
1006.0,728.0,Cocaine
1010.0,906.0,Cocaine
1058.0,1080.0,Cocaine
1082.0,1141.0,Cocaine
1118.0,5321.0,Cocaine
1134.0,3042.0,Cocaine
1162.0,1883.0,Cocaine
1206.0,1163.0,Cocaine
1210.0,1207.0,Cocaine
1258.0,4268.0,Cocaine
1262.0,5170.0,Cocaine
1266.0,6472.0,Cocaine
1270.0,8104.0,Cocaine
1274.0,9605.0,Cocaine
1278.0,10000.0,Cocaine
1282.0,8660.0,Cocaine
1286.0,6303.0,Cocaine
1290.0,4227.0,Cocaine
1294.0,2970.0,Cocaine
1298.0,2358.0,Cocaine
1302.0,2062.0,Cocaine
1306.0,1872.0,Cocaine
1310.0,1741.0,Cocaine
1314.0,1733.0,Cocaine
1318.0,1800.0,Cocaine
1322.0,1700.0,Cocaine
1326.0,1358.0,Cocaine
1330.0,1019.0,Cocaine
1334.0,860.0,Cocaine
1338.0,827.0,Cocaine
1342.0,842.0,Cocaine
1346.0,864.0,Cocaine
1350.0,846.0,Cocaine
1354.0,788.0,Cocaine
1358.0,741.0,Cocaine
1362.0,694.0,Cocaine
1366.0,639.0,Cocaine
1370.0,593.0,Cocaine
1374.0,567.0,Cocaine
1378.0,559.0,Cocaine
1382.0,553.0,Cocaine
1386.0,522.0,Cocaine
1390.0,473.0,Cocaine
1394.0,414.0,Cocaine
1398.0,356.0,Cocaine
1402.0,314.0,Cocaine
1406.0,291.0,Cocaine
1410.0,271.0,Cocaine
1414.0,263.0,Cocaine
1418.0,269.0,Cocaine
1422.0,286.0,Cocaine
1426.0,329.0,Cocaine
1430.0,405.0,Cocaine
1434.0,547.0,Cocaine
1438.0,719.0,Cocaine
1442.0,830.0,Cocaine
1446.0,873.0,Cocaine
1450.0,949.0,Cocaine
1454.0,1057.0,Cocaine
1458.0,1023.0,Cocaine
1462.0,816.0,Cocaine
1466.0,641.0,Cocaine
1470.0,573.0,Cocaine
1474.0,570.0,Cocaine
1478.0,597.0,Cocaine
1482.0,580.0,Cocaine
1486.0,494.0,Cocaine
1490.0,395.0,Cocaine
1494.0,325.0,Cocaine
1498.0,279.0,Cocaine
1530.0,134.0,Cocaine
1562.0,119.0,Cocaine
1594.0,204.0,Cocaine
1634.0,108.0,Cocaine
1658.0,127.0,Cocaine
1738.0,5531.0,Cocaine
1758.0,2236.0,Cocaine
1858.0,71.0,Cocaine
1886.0,57.0,Cocaine
1938.0,56.0,Cocaine
2022.0,38.0,Cocaine
2046.0,31.0,Cocaine
2066.0,31.0,Cocaine
2098.0,39.0,Cocaine
2110.0,43.0,Cocaine
2146.0,25.0,Cocaine
2158.0,20.0,Cocaine
2190.0,14.0,Cocaine
2206.0,21.0,Cocaine
2222.0,16.0,Cocaine
2242.0,14.0,Cocaine
2270.0,11.0,Cocaine
2298.0,12.0,Cocaine
2306.0,11.0,Cocaine
2330.0,20.0,Cocaine
